rank	word	frequency
627	ziemlich	136
628	zudem	136
629	Außerdem	135
630	Corona	135
631	Jahrhundert	135
632	Studien	135
633	plötzlich	135
634	Sinne	134
635	Sohn	134
636	Wissen	134
637	Bewegung	133
638	Dazu	133
639	Ergebnisse	133
640	Meine	133
641	Zahl	133
642	anderes	133
643	erhalten	133
644	Öffentlichkeit	133
645	Maßnahmen	132
646	Morgen	132
647	Wert	132
648	erkennen	132
649	früher	132
650	weiteren	132
651	<symbol>	131
652	Lage	131
653	anderer	131
654	bekannt	131
655	besten	131
656	darum	131
657	einzelnen	131
658	nimmt	131
659	<equation	130
660	Erde	130
661	Tochter	130
662	hält	130
663	schön	130
664	Freund	129
665	her	129
666	manchmal	129
667	saß	129
668	Aufgabe	128
669	Begriff	128
670	Zusammenhang	128
671	denken	128
672	hohe	128
673	Auto	127
674	Sache	127
675	Stunde	127
676	Unterstützung	127
677	einigen	127
678	z.	127
679	zeigte	127
680	zog	127
681	zweite	127
682	Jesus	126
683	Möglichkeiten	126
684	kamen	126
685	Ergebnis	125
686	Natur	125
687	Partei	125
688	insgesamt	125
689	inzwischen	125
690	vorbei	125
691	Regel	124
692	Regierung	124
693	Vergangenheit	124
694	großer	124
695	Fenster	123
696	Hintergrund	123
697	Hände	123
698	gefunden	123
699	möglichst	123
700	Beginn	122
701	Kindern	122
702	gleichzeitig	122
703	Über	122
704	Mai	121
705	danach	121
706	glauben	121
707	setzt	121
708	solchen	121
709	Film	120
710	Himmel	120
711	wenige	120
712	Bis	119
713	Erst	119
714	Frankreich	119
715	Idee	119
716	Juli	119
717	Vergleich	119
718	gebracht	119
719	gerne	119
720	hören	119
721	trotz	119
722	versucht	119
723	Bildung	118
724	Patienten	118
725	Stück	118
726	erklärt	118
727	erreicht	118
728	fragt	118
729	laut	118
730	passiert	118
731	selten	118
732	tief	118
733	<footnote	117
734	Beitrag	117
735	Themen	117
736	Zudem	117
737	braucht	117
738	könne	117
739	schrieb	117
740	tut	117
741	Recht	116
742	Seiten	116
743	Zimmer	116
744	jungen	116
745	letzte	116
746	niemand	116
747	verlassen	116
748	Deshalb	115
749	Einfluss	115
750	Meinung	115
751	Straße	115
752	Weil	115
753	alt	115
754	lieber	115
755	längst	115
756	wichtige	115
757	Religion	114
758	Worte	114
759	mag	114
760	miteinander	114
761	Entscheidung	113
762	Punkt	113
763	Selbst	113
764	Verfahren	113
765	Wahrheit	113
766	heraus	113
767	zugleich	113
768	CDU	112
769	Kultur	112
770	New	112
771	Satz	112
772	Schüler	112
773	Woche	112
774	anderem	112
775	handelt	112
776	helfen	112
777	stärker	112
778	weiterhin	112
779	Gefahr	111
780	Internet	111
781	Sommer	111
782	Verfügung	111
783	Zwei	111
784	dadurch	111
785	genommen	111
786	zuletzt	111
787	Aufgaben	110
788	Erfahrungen	110
789	Macht	110
790	Studie	110
791	bezeichnet	110
792	gleichen	110
793	herum	110
794	nachdem	110
795	Analyse	109
796	Technik	109
797	gern	109
798	trug	109
799	Bett	108
800	Jahres	108
801	Prozess	108
802	Wohnung	108
803	geschrieben	108
804	guten	108
805	verloren	108
806	weg	108
807	wollten	108
808	Kosten	107
809	Universität	107
810	bestimmt	107
811	durchaus	107
812	fällt	107
813	gestellt	107
814	schreibt	107
815	spielen	107
816	Familien	106
817	Herr	106
818	Tisch	106
819	bringt	106
820	dein	106
821	dürfen	106
822	erneut	106
823	führte	106
824	legte	106
825	los	106
826	nutzen	106
827	setzte	106
828	unserem	106
829	Alter	105
830	Mund	105
831	Neben	105
832	Projekt	105
833	Sicherheit	105
834	brachte	105
835	erklären	105
836	erreichen	105
837	hab	105
838	Bedingungen	104
839	Bevölkerung	104
840	Bürger	104
841	Ob	104
842	Sonne	104
843	bietet	104
844	dar	104
845	frei	104
846	Dort	103
847	Erfolg	103
848	Medien	103
849	Veränderungen	103
850	deine	103
851	meines	103
852	stets	103
853	unten	103
854	Folgen	102
855	Freiheit	102
856	Freunde	102
857	Meter	102
858	März	102
859	Nähe	102
860	Lösung	101
861	Monate	101
862	wenigen	101
863	wären	101
864	Chance	100
865	Kritik	100
866	dagegen	100
867	fühlte	100
868	genauso	100
869	kannst	100
870	lernen	100
871	lesen	100
872	reden	100
873	rief	100
874	überall	100
875	Jahrhunderts	99
876	Krise	99
877	Monaten	99
878	Rede	99
879	Reihe	99
880	arbeiten	99
881	euch	99
882	hörte	99
883	kleiner	99
884	trotzdem	99
885	verbunden	99
886	ähnlich	99
887	China	98
888	Je	98
889	einzige	98
890	frühen	98
891	gehören	98
892	hingegen	98
893	kennen	98
894	mindestens	98
895	schlecht	98
896	schreiben	98
897	weder	98
898	ziehen	98
899	Demokratie	97
900	Deutsche	97
901	Ebene	97
902	Energie	97
903	Höhe	97
904	Michael	97
905	Ressourcen	97
906	Unter	97
907	bieten	97
908	jedenfalls	97
909	offenbar	97
910	spielt	97
911	öffentlichen	97
912	Diskussion	96
913	Januar	96
914	Kunst	96
915	München	96
916	Verhältnis	96
917	außer	96
918	beschrieben	96
919	betrachtet	96
920	dennoch	96
921	derzeit	96
922	mittlerweile	96
923	müsse	96
924	ständig	96
925	unterschiedlichen	96
926	verwendet	96
927	wiederum	96
928	August	95
929	Bundesregierung	95
930	Kein	95
931	Ohne	95
932	Ruhe	95
933	Umsetzung	95
934	Wo	95
935	erlebt	95
936	langen	95
937	trägt	95
938	Bahn	94
939	Bücher	94
940	Hans	94
941	Hoffnung	94
942	Ländern	94
943	Opfer	94
944	US	94
945	Verhalten	94
946	Zeitung	94
947	beginnt	94
948	bereit	94
949	bislang	94
950	pro	94
951	Anteil	93
952	Heute	93
953	Milliarden	93
954	Staat	93
955	bilden	93
956	bitte	93
957	fiel	93
