rank	word	frequency
550	Faoi	167
551	bunaithe	167
552	ni	167
553	airgid	166
554	bíonn	166
555	cluiche	166
556	ról	166
557	sí	166
558	Mór	165
559	litríocht	165
560	páistí	165
561	sibh	165
562	Gan	164
563	Roinn	164
564	ard	164
565	poiblí	164
566	Seo	163
567	aice	163
568	leas	163
569	fhear	162
570	cheist	161
571	(c)	160
572	bhfo-alt	160
573	sórt	160
574	trácht	159
575	tráthnóna	159
576	ceist	158
577	chóir	158
578	céad	158
579	leaba	158
580	rí	158
581	sular	158
582	tionchar	158
583	laghad	157
584	seasamh	157
585	dhéanann	156
586	turas	156
587	chugainn	155
588	dheireadh	155
589	tuiscint	155
590	Ná	153
591	aiste	153
592	dhó	153
593	léinn	153
594	dánta	152
595	súile	152
596	tagtha	152
597	Ireland	151
598	Liam	151
599	bhféadfadh	151
600	cuairt	151
601	rinneadh	151
602	scoláirí	151
603	t-am	151
604	chuma	150
605	comhair	150
606	labhair	150
607	maidin	150
608	Tomás	149
609	plé	149
610	teideal	149
611	Fear	148
612	choinneáil	148
613	fhéach	148
614	dubh	147
615	fein	147
616	smaoineamh	147
617	Beag	146
618	DUP	146
619	chineál	146
620	fir	146
621	léargas	146
622	ré	146
623	tosaigh	146
624	Gaillimhe	145
625	imithe	145
626	it	145
627	lean	145
628	tugtha	145
629	cuntas	144
630	leibhéal	144
631	íoc	144
632	ceoil	143
633	deo	143
634	dár	143
635	réidh	143
636	ardú	142
637	fhada	142
638	fóill	142
639	litir	142
640	saor	142
641	thuas	142
642	tseachtain	142
643	dócha	141
644	fhoghlaim	141
645	freastal	141
646	imní	141
647	thit	140
648	tusa	140
649	Chaith	139
650	Do	139
651	ceisteanna	139
652	mhó	139
653	thú	139
654	óga	139
655	Céard	138
656	Lá	138
657	bhfuair	138
658	hé	138
659	Eoin	137
660	with	137
661	áitiúil	137
662	Nollaig	136
663	aimsir	136
664	airgead	135
665	chuireann	135
666	feiceáil	135
667	ceol	134
668	cá	134
669	sise	134
670	spéis	134
671	thóg	134
672	Breataine	133
673	brath	133
674	fhoilsigh	133
675	ionann	133
676	sagart	133
677	saothair	133
678	baile	132
679	breis	132
680	chroí	132
681	córas	132
682	dúchais	132
683	feidhm	132
684	mbaile	132
685	m’	132
686	post	132
687	seacht	132
688	tacaíocht	132
689	Raidió	131
690	breise	131
691	croí	131
692	deich	131
693	gcló	131
694	radharc	131
695	Fuair	130
696	Más	130
697	fhreagair	130
698	té	130
699	Nic	129
700	dlí	129
701	dáta	129
702	faide	129
703	gabháil	129
704	ghlac	129
705	luí	129
706	ndáil	129
707	réiteach	129
708	si	129
709	thuilleadh	129
710	Stát	128
711	bhéal	128
712	chúrsaí	128
713	gcoinne	128
714	neart	128
715	oideachais	128
716	Anois	127
717	ball	127
718	chloig	127
719	chlár	127
720	iomchuí	127
721	t-aon	127
722	beagnach	126
723	deacair	126
724	fíor	126
725	intinn	126
726	tsaoil	126
727	téarma	126
728	Bíonn	125
729	Rí	125
730	laethanta	125
731	pobal	125
732	aer	124
733	fhoireann	124
734	gColáiste	124
735	múinteoirí	124
736	tagairt	124
