rank	word	frequency
762	social	115
763	soleil	115
764	sort	115
765	République	114
766	accord	114
767	ancien	114
768	centre	114
769	d"	114
770	devait	114
771	environ	114
772	large	114
773	points	114
774	propose	114
775	ressources	114
776	retrouver	114
777	seront	114
778	tellement	114
779	voiture	114
780	besoins	113
781	communication	113
782	enseignement	113
783	pied	113
784	terrain	113
785	vingt	113
786	Deux	112
787	Ne	112
788	Qui	112
789	chemin	112
790	ciel	112
791	compétences	112
792	entreprise	112
793	importance	112
794	projets	112
795	Car	111
796	appelle	111
797	bruit	111
798	chance	111
799	droits	111
800	figure	111
801	froid	111
802	impression	111
803	meilleure	111
804	demander	110
805	dos	110
806	rire	110
807	signe	110
808	soient	110
809	étape	110
810	c'est-à-dire	109
811	devenu	109
812	fil	109
813	meilleur	109
814	position	109
815	évolution	109
816	changement	108
817	gros	108
818	habitude	108
819	heureux	108
820	parcours	108
821	ta	108
822	familles	107
823	membres	107
824	mêmes	107
825	sociales	107
826	véritable	107
827	caractère	106
828	dimanche	106
829	goût	106
830	mari	106
831	ministère	106
832	puisque	106
833	seconde	106
834	consommation	105
835	derniers	105
836	débat	105
837	existence	105
838	expression	105
839	organisation	105
840	présidentielle	105
841	publics	105
842	silence	105
843	suivi	105
844	affaire	104
845	dispositifs	104
846	distance	104
847	fais	104
848	fallait	104
849	milliards	104
850	permettre	104
851	pieds	104
852	économique	104
853	aurais	103
854	effets	103
855	hiver	103
856	mariage	103
857	pensées	103
858	rappelle	103
859	bonheur	102
860	directement	102
861	espèces	102
862	européenne	102
863	garde	102
864	libre	102
865	petites	102
866	répondre	102
867	territoire	102
868	bois	101
869	but	101
870	cinéma	101
871	devrait	101
872	lutte	101
873	naissance	101
874	protection	101
875	soutien	101
876	actions	100
877	août	100
878	construction	100
879	couple	100
880	créer	100
881	mars	100
882	réseaux	100
883	sentiment	100
884	tient	100
885	verre	100
886	échelle	100
887	absence	99
888	assurer	99
889	avance	99
890	cependant	99
891	changer	99
892	connu	99
893	finalement	99
894	frais	99
895	perte	99
896	police	99
